Country_Name,RE_Inexpensive_Meal,RE_Meal_2Ppl,RE_Combo_Meal,RE_Domestic_Beer,RE_Imported_Beer,RE_Cappuccino,RE_Coke/Pepsi,RE_Water,MK_Milk,MK_White_Bread,MK_Rice,MK_Eggs,MK_Cheese,MK_Chicken_Breasts,MK_Red_Meat,MK_Apples,MK_Banana,MK_Oranges,MK_Tomato,MK_Potato,MK_Onion,MK_Lettuce,MK_Water,MK_Wine,MK_Domestic_Beer,MK_Imported_Beer,MK_Cigarettes_Pack,TR_Ticket,TR_Monthly_Pass,TR_Taxi_Start,TR_Taxi_1km,TR_Taxi_1h,TR_Gasoline,TR_VW_Golf,TR_TY_Corolla,UT_Basic_85m2,UT_Prepaid_Mobile,UT_Internet,SL_Fitness_Club,SL_Tennis,SL_Cinema,CH_Preschool,CH_International_School,CS_Jeans,CS_Summer_Dress,CS_Running_Shoes,CS_Leather_Shoes,RM_Apartment_1Centre,RM_Apartment_1Outside,RM_Apartment_3Centre,RM_Apartment_3Outside,BA_PriceM2_Centre,BA_PriceM2_Outside,SF_Average_Salary,SF_Mortgage_%Yearly
Afghanistan,2.61,12.00,4.00,7.00,4.00,1.89,0.36,0.24,1.02,0.54,1.38,1.31,4.03,2.90,5.31,1.29,1.47,1.56,0.77,0.48,0.46,0.65,0.42,10.00,0.88,3.50,1.50,0.29,20.00,0.73,0.81,4.24,0.62,"18,000.00","16,397.49",73.90,0.05,186.68,14.14,13.93,2.50,31.59,"2,688.96",24.18,35.54,55.65,51.01,189.42,107.49,390.53,211.96,862.00,427.16,213.99,9.65
Aland Islands,18.07,87.42,7.11,5.94,5.36,3.80,1.95,2.07,1.03,4.66,2.24,3.46,34.97,12.24,27.98,2.12,1.83,1.83,1.92,1.54,1.54,1.60,2.43,13.86,2.73,2.48,6.52,2.33,51.06,6.99,2.27,52.45,1.83,"27,392.79","30,306.92",264.21,0.12,32.99,71.10,22.73,14.57,,,132.11,47.01,116.57,186.50,582.83,477.92,"1,068.51",757.67,"3,691.23","2,642.14","2,797.56",2.00
Albania,5.83,20.25,4.52,1.38,1.70,1.25,1.10,0.52,1.11,0.54,1.13,1.53,4.92,4.32,7.40,0.90,1.51,1.06,0.80,0.55,0.51,0.59,0.47,5.52,0.78,1.20,2.76,0.37,13.99,2.30,1.38,13.81,1.55,"18,822.60","19,251.87",65.47,0.21,21.60,31.02,5.72,4.60,125.83,"3,041.14",49.62,36.22,75.42,79.43,252.13,148.71,458.24,257.34,"1,325.30",653.14,350.92,6.35
Algeria,2.58,12.89,3.44,1.29,1.72,0.59,0.51,0.20,0.37,0.14,0.94,1.15,6.50,3.79,10.26,2.07,2.42,1.39,0.68,0.45,0.40,0.56,0.26,6.55,1.22,1.65,2.15,0.17,10.31,0.43,0.43,4.30,0.27,"22,336.77","22,447.95",37.11,0.08,35.89,17.18,12.59,4.30,76.00,"2,532.02",39.08,40.52,66.51,67.04,184.60,118.09,312.37,200.10,"1,579.73",912.90,280.78,5.70
Andorra,11.48,34.97,9.33,2.04,3.35,1.74,2.33,1.57,0.98,1.52,1.34,1.70,15.10,9.15,16.31,1.95,1.66,1.65,2.31,1.40,1.05,1.17,0.52,5.83,0.91,0.56,4.08,2.10,40.80,6.41,,,1.17,"43,106.56","18,650.41",103.79,0.23,43.71,46.63,,8.16,431.29,"1,398.78",83.54,29.14,79.65,139.88,699.39,524.54,"1,072.40",786.81,,"4,079.78","1,942.75",3.00
Angola,18.13,72.34,15.00,2.00,2.68,3.08,1.34,1.04,3.22,2.96,3.94,5.38,18.55,11.82,21.66,8.00,3.67,5.03,6.11,4.36,4.54,4.25,1.77,17.00,1.90,1.81,2.00,1.25,90.00,3.89,0.95,19.19,1.04,"35,000.00","22,500.00",320.88,0.21,300.00,167.28,20.00,17.00,"1,061.39","20,649.98",145.62,144.00,170.11,230.90,"1,823.27","1,503.36","4,183.49","5,337.81","10,000.00","2,500.00","1,277.39",12.00
Antigua And Barbuda,9.25,37.00,7.40,1.85,2.22,2.41,1.60,1.30,,1.48,1.85,3.70,,,,,3.22,,5.66,2.40,2.40,,,7.03,,,2.59,0.93,,,,,1.28,"25,901.46","29,601.67",101.76,,73.63,41.63,,6.48,333.02,"1,702.10",44.40,55.50,110.64,55.50,822.01,769.64,999.53,"1,785.35",,,832.55,10.50
Argentina,8.14,28.47,6.51,2.44,3.05,2.16,1.43,1.07,1.05,1.07,1.17,1.69,6.36,4.29,6.63,1.80,1.44,1.16,1.40,0.80,0.83,0.89,1.05,4.07,1.26,2.07,2.44,0.37,18.66,1.22,0.69,6.76,1.09,"17,002.93","17,945.53",87.28,0.24,42.86,36.95,15.63,6.92,217.19,"5,135.90",71.30,52.59,92.70,107.98,343.24,262.89,677.21,508.89,"2,086.57","1,451.44",709.03,25.23
Armenia,6.22,23.83,4.14,1.24,1.71,1.81,0.70,0.46,0.87,0.51,1.25,1.59,4.34,4.41,6.01,1.04,1.60,1.36,1.10,0.48,0.58,0.32,0.53,5.18,0.91,1.17,1.24,0.21,12.43,1.24,0.21,2.49,0.89,"13,155.99","19,588.01",83.05,0.04,15.91,50.10,9.93,5.18,153.44,"2,932.41",54.73,39.65,76.56,70.44,288.50,173.92,621.20,301.02,970.64,586.45,291.09,13.09
Aruba,13.50,70.00,7.21,4.00,4.74,3.00,1.82,1.88,1.49,1.89,2.35,2.41,9.05,5.21,14.35,4.05,1.72,3.71,3.07,1.67,1.81,1.73,2.19,15.00,2.26,2.79,6.92,2.51,70.03,19.61,13.30,74.02,1.37,"25,000.00","22,958.94",370.15,0.40,60.04,60.75,16.50,8.00,340.05,"15,000.00",59.63,51.34,111.65,123.41,723.83,543.98,"1,433.33","1,100.00","9,457.19","1,500.00","1,384.63",6.67
